sku,sku_description,price,weight_lb,length_in,width_in,height_in,department,popularity
SKU000180,sku_description_180,112.6,85.48,39.0,59.4,43.2,Dept_23,2.579682949187204e-06
SKU000181,sku_description_181,274.83,127.22,83.7,42.6,10.8,Dept_18,9.82233221206041e-07
SKU000182,sku_description_182,93.44,161.23,20.5,27.8,6.0,Dept_20,4.815150162706335e-06
SKU000183,sku_description_183,739.98,147.6,5.5,43.1,39.4,Dept_16,5.398930359884085e-06
SKU000184,sku_description_184,702.24,7.19,88.4,24.2,50.0,Dept_7,4.789715675753424e-05
SKU000185,sku_description_185,208.58,146.25,2.7,20.4,12.4,Dept_1,0.00011037035849021745
SKU000186,sku_description_186,529.01,144.02,80.2,31.1,43.5,Dept_21,4.0062159353052764e-05
SKU000187,sku_description_187,654.33,19.89,74.7,28.0,19.6,Dept_4,1.398667050329424e-05
SKU000188,sku_description_188,445.5,30.13,44.9,57.1,19.9,Dept_25,2.5860639748336364e-05
SKU000189,sku_description_189,425.13,157.6,64.1,58.8,11.2,Dept_3,2.111614107171881e-06
SKU000190,sku_description_190,195.76,111.84,11.2,20.8,40.8,Dept_1,7.81029570865354e-06
SKU000191,sku_description_191,77.2,164.34,69.2,5.9,33.7,Dept_23,3.583498073322008e-07
SKU000192,sku_description_192,718.08,37.03,71.0,13.7,32.8,Dept_21,1.7903233362007694e-05
SKU000193,sku_description_193,720.63,6.22,6.5,55.7,8.1,Dept_13,4.0128424708887666e-05
SKU000194,sku_description_194,507.58,32.47,45.8,10.8,16.7,Dept_3,1.4382314297914621e-06
SKU000195,sku_description_195,273.21,90.57,85.4,37.8,25.4,Dept_24,1.1918708392324026e-05
SKU000196,sku_description_196,281.32,104.71,85.7,4.3,38.0,Dept_6,1.6477975679398017e-05
SKU000197,sku_description_197,581.59,171.55,88.6,31.4,34.6,Dept_6,2.842714347568942e-05
SKU000198,sku_description_198,718.0,143.27,59.8,25.6,31.2,Dept_21,5.5633927956811206e-06
SKU000199,sku_description_199,710.01,198.08,14.4,43.2,42.2,Dept_5,6.505587233878724e-07
SKU000200,sku_description_200,624.56,15.84,38.3,31.6,56.4,Dept_11,9.054372597932308e-07
SKU000201,sku_description_201,514.7,26.13,66.0,30.1,55.1,Dept_12,1.062433533930615e-05
SKU000202,sku_description_202,70.06,16.96,27.0,38.2,34.0,Dept_1,6.96400624895502e-07
SKU000203,sku_description_203,131.82,107.74,73.3,42.7,38.2,Dept_6,9.536152897320296e-06
SKU000204,sku_description_204,719.15,53.45,77.8,39.6,18.7,Dept_1,4.609574472816061e-05
SKU000205,sku_description_205,486.32,136.76,69.2,53.2,20.4,Dept_23,2.631372326118955e-06
SKU000206,sku_description_206,10.33,26.62,32.1,8.6,18.8,Dept_12,1.1139478745478217e-05
SKU000207,sku_description_207,83.87,20.73,67.2,57.6,24.8,Dept_13,1.4010980143923453e-05
SKU000208,sku_description_208,531.81,92.09,8.4,41.3,6.8,Dept_1,0.00011981026143378333
SKU000209,sku_description_209,7.03,75.24,31.5,13.5,26.7,Dept_8,6.155632205792786e-06
SKU000210,sku_description_210,131.16,165.85,69.4,26.0,8.6,Dept_16,1.4410439416993912e-05
SKU000211,sku_description_211,440.34,167.53,71.9,19.9,50.0,Dept_10,3.004147407872586e-05
SKU000212,sku_description_212,554.44,23.57,30.1,43.6,33.0,Dept_5,1.1048384370883934e-06
SKU000213,sku_description_213,522.61,162.48,86.5,59.7,45.2,Dept_25,8.857955365100835e-06
SKU000214,sku_description_214,181.74,112.88,26.0,52.4,13.9,Dept_18,5.368545851019589e-06
SKU000215,sku_description_215,570.61,100.76,60.1,52.0,21.6,Dept_1,4.109259774058833e-06
SKU000216,sku_description_216,192.09,19.04,79.3,25.9,5.6,Dept_13,8.830660491971903e-06
SKU000217,sku_description_217,262.34,147.95,50.5,27.3,52.2,Dept_1,1.584834587795841e-05
SKU000218,sku_description_218,597.95,12.02,38.3,13.8,38.5,Dept_16,7.530346072074835e-06
SKU000219,sku_description_219,520.76,55.61,20.6,23.5,24.7,Dept_24,8.537559734468539e-07
SKU000220,sku_description_220,679.83,19.18,19.3,38.5,58.8,Dept_23,5.3062809990709516e-05
SKU000221,sku_description_221,527.12,106.2,16.0,50.8,12.6,Dept_22,1.183983220554829e-05
SKU000222,sku_description_222,455.94,129.08,41.0,5.4,20.4,Dept_20,3.129896703767319e-05
SKU000223,sku_description_223,77.66,178.18,50.2,56.9,31.6,Dept_21,2.2344101475450714e-05
SKU000224,sku_description_224,296.07,146.8,75.8,16.1,40.9,Dept_22,1.5517044201982095e-05
SKU000225,sku_description_225,214.37,192.22,21.1,13.6,33.6,Dept_7,5.173038537441801e-06
SKU000226,sku_description_226,197.46,152.21,68.5,25.1,50.1,Dept_8,1.0345841385460117e-06
SKU000227,sku_description_227,778.49,59.68,63.1,39.0,14.3,Dept_21,9.336913484076088e-06
SKU000228,sku_description_228,316.3,109.56,57.8,35.0,56.1,Dept_25,2.063254560430879e-06
SKU000229,sku_description_229,713.96,91.64,31.9,16.6,36.6,Dept_19,3.491111790192401e-05
SKU000230,sku_description_230,506.02,113.24,30.0,57.6,24.8,Dept_20,3.643585780312316e-06
SKU000231,sku_description_231,636.46,114.46,68.8,36.7,37.2,Dept_14,9.261811440364176e-06
SKU000232,sku_description_232,403.6,140.45,26.2,49.7,10.2,Dept_9,2.7687368688259783e-05
SKU000233,sku_description_233,462.79,16.7,31.0,55.1,30.9,Dept_1,1.6482833477415058e-05
SKU000234,sku_description_234,395.54,149.37,86.9,25.2,29.1,Dept_4,1.8210266265716256e-07
SKU000235,sku_description_235,158.61,28.83,89.9,15.4,5.2,Dept_10,1.317709294992207e-05
SKU000236,sku_description_236,578.79,5.34,2.2,39.1,38.7,Dept_11,5.418047351064081e-05
SKU000237,sku_description_237,226.78,103.83,62.4,21.5,29.0,Dept_17,3.0277179386810372e-06
SKU000238,sku_description_238,22.38,116.34,49.1,24.3,53.3,Dept_4,7.358361974070734e-06
SKU000239,sku_description_239,517.44,7.07,42.5,10.0,53.5,Dept_21,3.8680710828664484e-07
SKU000240,sku_description_240,144.16,103.12,26.3,49.6,16.8,Dept_14,9.421849262176227e-06
SKU000241,sku_description_241,752.55,106.96,46.6,47.2,42.3,Dept_8,2.845330912354236e-06
SKU000242,sku_description_242,763.28,10.59,42.2,39.0,58.9,Dept_15,2.5868784333768388e-06
SKU000243,sku_description_243,732.15,142.35,37.3,24.1,14.1,Dept_13,2.979175492184946e-06
SKU000244,sku_description_244,298.02,42.14,76.8,58.2,14.3,Dept_13,0.004068458126518295
SKU000245,sku_description_245,15.32,158.91,25.8,22.8,4.5,Dept_4,8.530642680945684e-06
SKU000246,sku_description_246,742.87,62.23,54.6,37.9,41.0,Dept_17,8.03118317448345e-08
SKU000247,sku_description_247,344.26,95.63,78.1,10.6,45.0,Dept_19,5.117154862374807e-06
SKU000248,sku_description_248,773.42,178.38,88.2,10.2,43.6,Dept_3,4.827672083817069e-05
SKU000249,sku_description_249,771.01,161.26,55.0,57.4,52.7,Dept_8,1.2485429386758236e-05
SKU000250,sku_description_250,682.85,156.39,47.8,44.2,7.1,Dept_11,6.64424787563461e-06
SKU000251,sku_description_251,237.68,32.17,76.0,3.5,31.9,Dept_8,2.5799062491892727e-06
SKU000252,sku_description_252,309.92,9.72,18.6,39.0,44.6,Dept_25,1.6093837856379602e-06
SKU000253,sku_description_253,681.36,121.19,57.4,4.7,11.8,Dept_25,1.400982676638522e-05
SKU000254,sku_description_254,255.59,82.2,7.6,45.2,31.5,Dept_4,1.2243004035338305e-05
SKU000255,sku_description_255,138.09,181.82,60.1,5.2,55.7,Dept_2,4.3461347742226756e-06
SKU000256,sku_description_256,446.77,69.98,72.0,23.3,7.0,Dept_16,1.705135805308655e-05
SKU000257,sku_description_257,749.12,82.17,7.5,23.9,21.5,Dept_4,3.087667439660676e-05
SKU000258,sku_description_258,557.74,105.25,76.7,36.3,30.3,Dept_5,4.574149368735493e-06
SKU000259,sku_description_259,457.34,159.3,12.9,14.3,44.8,Dept_21,4.342427237577402e-05
SKU000260,sku_description_260,80.45,53.73,17.5,42.2,58.1,Dept_25,4.6745775813504024e-07
SKU000261,sku_description_261,493.16,188.37,75.6,33.1,11.7,Dept_2,9.773806085980596e-06
SKU000262,sku_description_262,792.07,108.03,13.0,21.4,37.7,Dept_14,7.135765565755071e-07
SKU000263,sku_description_263,114.65,168.21,61.3,46.9,29.3,Dept_20,7.00344368804901e-06
SKU000264,sku_description_264,416.11,105.17,27.9,37.0,21.7,Dept_12,4.712728617218307e-06
SKU000265,sku_description_265,702.27,154.42,23.9,54.1,10.8,Dept_22,3.837525393911563e-06
SKU000266,sku_description_266,593.39,10.38,59.2,32.1,29.8,Dept_24,6.5901416145764705e-06
SKU000267,sku_description_267,558.52,159.86,11.4,20.4,26.2,Dept_19,9.26359234535877e-06
SKU000268,sku_description_268,562.88,104.84,52.6,2.3,31.7,Dept_21,1.1736237792824053e-07
SKU000269,sku_description_269,289.51,89.94,83.4,35.1,31.8,Dept_16,6.824100129002264e-06
SKU000270,sku_description_270,236.99,22.41,76.9,54.3,37.9,Dept_11,7.818771452864101e-06
SKU000271,sku_description_271,648.06,148.34,76.9,9.6,58.1,Dept_10,1.4309119340352648e-06
SKU000272,sku_description_272,648.66,26.32,28.7,58.7,13.4,Dept_3,1.2311270321070101e-07
SKU000273,sku_description_273,694.06,38.54,63.7,39.3,19.8,Dept_22,5.5033952529943586e-05
SKU000274,sku_description_274,730.85,25.37,70.6,16.3,17.2,Dept_16,3.7279441134934413e-06
SKU000275,sku_description_275,410.54,1.41,81.3,56.9,3.3,Dept_9,1.0500786637334011e-05
SKU000276,sku_description_276,402.71,132.42,25.2,59.4,22.4,Dept_18,3.2183420393935488e-06
