Order Number,SKU,SKU Description,Prime Line Number,orderline_units_sold,Total without tax,Fulfillment Method,Ship Node Description,Order Date,Ship ZIP,Ship Latitude,Ship Longitude,Order line status,Shipment status Ship Date
2000011,SKU006217,sku_description_6217,2,1,125.27,STH,Store E,10/29/2024,75285,42.150426,-79.393534,Shipped,10/31/2024
2000011,SKU039058,sku_description_39058,3,3,1303.23,STH,Store E,10/29/2024,75285,42.150426,-79.393534,Shipped,11/02/2024
2000011,SKU013654,sku_description_13654,4,3,1347.87,STH,Store E,10/29/2024,75285,42.150426,-79.393534,Shipped,10/31/2024
2000011,SKU035845,sku_description_35845,5,3,1207.56,STH,Store E,10/29/2024,75285,42.150426,-79.393534,Shipped,10/30/2024
2000011,SKU005025,sku_description_5025,6,1,744.34,STH,Store E,10/29/2024,75285,42.150426,-79.393534,Shipped,10/30/2024
2000011,SKU033616,sku_description_33616,7,2,763.46,STH,Store E,10/29/2024,75285,42.150426,-79.393534,Shipped,10/31/2024
2000012,SKU026398,sku_description_26398,1,2,823.92,BOPIS,Store H,08/04/2024,33602,27.9506,-82.4572,Shipped,08/05/2024
2000012,SKU026373,sku_description_26373,2,4,1441.36,BOPIS,Store H,08/04/2024,33602,27.9506,-82.4572,Shipped,08/09/2024
2000012,SKU018959,sku_description_18959,3,3,938.7,BOPIS,Store H,08/04/2024,33602,27.9506,-82.4572,Shipped,08/05/2024
2000013,SKU016299,sku_description_16299,1,1,403.61,BOPIS,Store A,01/17/2024,55401,44.9833,-93.2667,Shipped,01/20/2024
2000013,SKU000089,sku_description_89,2,2,1420.22,BOPIS,Store A,01/17/2024,55401,44.9833,-93.2667,Shipped,01/18/2024
2000013,SKU032513,sku_description_32513,3,4,2124.68,BOPIS,Store A,01/17/2024,55401,44.9833,-93.2667,Shipped,01/19/2024
2000013,SKU041268,sku_description_41268,4,1,623.84,BOPIS,Store A,01/17/2024,55401,44.9833,-93.2667,Shipped,01/19/2024
2000013,SKU025498,sku_description_25498,5,2,445.28,BOPIS,Store A,01/17/2024,55401,44.9833,-93.2667,Shipped,01/21/2024
2000013,SKU010314,sku_description_10314,6,4,182.72,BOPIS,Store A,01/17/2024,55401,44.9833,-93.2667,Shipped,01/19/2024
2000013,SKU034444,sku_description_34444,7,2,1346.32,BOPIS,Store A,01/17/2024,55401,44.9833,-93.2667,Shipped,01/19/2024
2000014,SKU017510,sku_description_17510,1,3,2047.65,STH,Store G,01/16/2024,65385,26.126317,-103.295393,Shipped,01/17/2024
2000014,SKU013754,sku_description_13754,2,4,759.72,STH,Store G,01/16/2024,65385,26.126317,-103.295393,Shipped,01/19/2024
2000015,SKU013754,sku_description_13754,1,3,569.79,STH,Store D,02/17/2024,11566,37.290435,-91.514319,Shipped,02/18/2024
2000015,SKU039867,sku_description_39867,2,1,644.53,STH,Store D,02/17/2024,11566,37.290435,-91.514319,Shipped,02/19/2024
2000016,SKU002927,sku_description_2927,1,3,1937.79,STH,Store C,04/21/2024,40854,32.977063,-82.618842,Shipped,04/24/2024
2000016,SKU021142,sku_description_21142,2,1,66.52,STH,Store C,04/21/2024,40854,32.977063,-82.618842,Shipped,04/23/2024
2000016,SKU025451,sku_description_25451,3,2,1211.76,STH,Store C,04/21/2024,40854,32.977063,-82.618842,Shipped,04/25/2024
2000016,SKU004490,sku_description_4490,4,4,1809.68,STH,Store C,04/21/2024,40854,32.977063,-82.618842,Shipped,04/25/2024
2000016,SKU010011,sku_description_10011,5,1,709.2,STH,Store C,04/21/2024,40854,32.977063,-82.618842,Shipped,04/23/2024
2000016,SKU034955,sku_description_34955,6,2,1191.24,STH,Store C,04/21/2024,40854,32.977063,-82.618842,Shipped,04/22/2024
2000017,SKU003053,sku_description_3053,1,3,651.06,BOPIS,Store D,04/29/2024,15222,40.4406,-79.9959,Shipped,05/03/2024
2000017,SKU026373,sku_description_26373,2,1,360.34,BOPIS,Store D,04/29/2024,15222,40.4406,-79.9959,Shipped,05/02/2024
2000017,SKU020396,sku_description_20396,3,1,350.61,BOPIS,Store D,04/29/2024,15222,40.4406,-79.9959,Shipped,05/02/2024
2000017,SKU011339,sku_description_11339,4,1,687.77,BOPIS,Store D,04/29/2024,15222,40.4406,-79.9959,Shipped,04/30/2024
2000018,SKU042239,sku_description_42239,1,1,657.48,STH,Store B,09/15/2024,54508,48.404108,-96.948864,Shipped,09/20/2024
2000019,SKU040021,sku_description_40021,1,4,367.64,STH,Store I,11/04/2024,31237,48.90179,-95.915244,Shipped,11/09/2024
2000019,SKU018959,sku_description_18959,2,1,312.9,STH,Store I,11/04/2024,31237,48.90179,-95.915244,Shipped,11/08/2024
2000019,SKU034350,sku_description_34350,3,3,567.63,STH,Store I,11/04/2024,31237,48.90179,-95.915244,Shipped,11/09/2024
2000019,SKU026626,sku_description_26626,4,2,323.98,STH,Store I,11/04/2024,31237,48.90179,-95.915244,Shipped,11/08/2024
2000019,SKU040919,sku_description_40919,5,4,2813.48,STH,Store I,11/04/2024,31237,48.90179,-95.915244,Shipped,11/05/2024
2000021,SKU033659,sku_description_33659,1,3,887.61,STH,Store H,10/14/2024,47083,47.001435,-69.901882,Shipped,10/17/2024
2000024,SKU005800,sku_description_5800,1,2,266.98,STH,Store C,12/25/2024,37633,33.547899,-113.673504,Shipped,12/29/2024
2000024,SKU027096,sku_description_27096,2,1,414.7,STH,Store C,12/25/2024,37633,33.547899,-113.673504,Shipped,12/28/2024
2000024,SKU041675,sku_description_41675,3,4,810.0,STH,Store C,12/25/2024,37633,33.547899,-113.673504,Shipped,12/30/2024
2000025,SKU001071,sku_description_1071,1,3,717.48,STH,Store G,10/06/2024,12382,44.482633,-75.254647,Shipped,10/09/2024
2000025,SKU015282,sku_description_15282,2,2,1357.76,STH,Store G,10/06/2024,12382,44.482633,-75.254647,Shipped,10/09/2024
2000025,SKU016794,sku_description_16794,3,1,565.57,STH,Store G,10/06/2024,12382,44.482633,-75.254647,Shipped,10/10/2024
2000025,SKU024093,sku_description_24093,4,2,428.88,STH,Store G,10/06/2024,12382,44.482633,-75.254647,Shipped,10/08/2024
2000025,SKU003675,sku_description_3675,5,3,1463.49,STH,Store G,10/06/2024,12382,44.482633,-75.254647,Shipped,10/11/2024
2000025,SKU041175,sku_description_41175,6,1,222.68,STH,Store G,10/06/2024,12382,44.482633,-75.254647,Shipped,10/11/2024
2000025,SKU030842,sku_description_30842,7,1,81.95,STH,Store G,10/06/2024,12382,44.482633,-75.254647,Shipped,10/11/2024
2000027,SKU008256,sku_description_8256,1,1,688.3,STH,Store C,04/22/2024,25863,40.464138,-103.402191,Shipped,04/25/2024
2000027,SKU018053,sku_description_18053,2,4,2636.4,STH,Store C,04/22/2024,25863,40.464138,-103.402191,Shipped,04/26/2024
2000027,SKU014017,sku_description_14017,3,3,2266.74,STH,Store C,04/22/2024,25863,40.464138,-103.402191,Shipped,04/24/2024
2000027,SKU001687,sku_description_1687,4,3,2215.32,STH,Store C,04/22/2024,25863,40.464138,-103.402191,Shipped,04/23/2024
2000027,SKU043093,sku_description_43093,5,4,1368.2,STH,Store C,04/22/2024,25863,40.464138,-103.402191,Shipped,04/23/2024
2000027,SKU033529,sku_description_33529,6,3,775.14,STH,Store C,04/22/2024,25863,40.464138,-103.402191,Shipped,04/26/2024
2000027,SKU017582,sku_description_17582,7,4,1188.04,STH,Store C,04/22/2024,25863,40.464138,-103.402191,Shipped,04/23/2024
2000028,SKU000880,sku_description_880,1,1,179.91,BOPIS,Store J,08/17/2024,02108,42.3601,-71.0589,Shipped,08/21/2024
2000028,SKU018582,sku_description_18582,2,1,561.21,BOPIS,Store J,08/17/2024,02108,42.3601,-71.0589,Shipped,08/22/2024
2000029,SKU031423,sku_description_31423,1,4,1687.68,BOPIS,Store J,10/28/2024,02108,42.3601,-71.0589,Shipped,11/02/2024
2000029,SKU024262,sku_description_24262,2,3,798.21,BOPIS,Store J,10/28/2024,02108,42.3601,-71.0589,Shipped,11/02/2024
2000029,SKU010251,sku_description_10251,3,1,560.12,BOPIS,Store J,10/28/2024,02108,42.3601,-71.0589,Shipped,10/29/2024
2000030,SKU020601,sku_description_20601,1,1,681.4,STH,Store I,05/22/2024,17796,25.412707,-118.056181,Shipped,05/25/2024
2000030,SKU007958,sku_description_7958,2,1,665.76,STH,Store I,05/22/2024,17796,25.412707,-118.056181,Shipped,05/23/2024
2000030,SKU009981,sku_description_9981,3,2,570.12,STH,Store I,05/22/2024,17796,25.412707,-118.056181,Shipped,05/23/2024
2000030,SKU042765,sku_description_42765,4,3,445.26,STH,Store I,05/22/2024,17796,25.412707,-118.056181,Shipped,05/26/2024
2000030,SKU008870,sku_description_8870,5,1,282.14,STH,Store I,05/22/2024,17796,25.412707,-118.056181,Shipped,05/27/2024
2000030,SKU001974,sku_description_1974,6,2,831.82,STH,Store I,05/22/2024,17796,25.412707,-118.056181,Shipped,05/24/2024
2000031,SKU039189,sku_description_39189,1,3,2240.97,BOPIS,Store I,01/04/2024,28202,35.2271,-80.8431,Shipped,01/09/2024
2000031,SKU016774,sku_description_16774,2,2,1162.28,BOPIS,Store I,01/04/2024,28202,35.2271,-80.8431,Shipped,01/05/2024
2000031,SKU008492,sku_description_8492,3,1,110.63,BOPIS,Store I,01/04/2024,28202,35.2271,-80.8431,Shipped,01/06/2024
2000032,SKU041085,sku_description_41085,1,4,235.32,STH,Store D,03/22/2024,21095,25.38062,-98.172113,Shipped,03/27/2024
2000032,SKU005438,sku_description_5438,2,3,2021.31,STH,Store D,03/22/2024,21095,25.38062,-98.172113,Shipped,03/27/2024
2000032,SKU022900,sku_description_22900,3,3,1523.37,STH,Store D,03/22/2024,21095,25.38062,-98.172113,Shipped,03/27/2024
2000032,SKU010632,sku_description_10632,4,4,2378.96,STH,Store D,03/22/2024,21095,25.38062,-98.172113,Shipped,03/25/2024
2000032,SKU036034,sku_description_36034,5,1,746.66,STH,Store D,03/22/2024,21095,25.38062,-98.172113,Shipped,03/25/2024
2000032,SKU007067,sku_description_7067,6,2,60.68,STH,Store D,03/22/2024,21095,25.38062,-98.172113,Shipped,03/26/2024
2000032,SKU028988,sku_description_28988,7,1,331.52,STH,Store D,03/22/2024,21095,25.38062,-98.172113,Shipped,03/25/2024
2000033,SKU009763,sku_description_9763,1,3,2330.31,BOPIS,Store C,12/23/2024,48226,42.3314,-83.0458,Shipped,12/24/2024
2000034,SKU042030,sku_description_42030,1,4,1349.12,BOPIS,Store A,08/04/2024,55401,44.9833,-93.2667,Shipped,08/05/2024
2000034,SKU010275,sku_description_10275,2,3,2214.06,BOPIS,Store A,08/04/2024,55401,44.9833,-93.2667,Shipped,08/05/2024
2000034,SKU005584,sku_description_5584,3,1,562.09,BOPIS,Store A,08/04/2024,55401,44.9833,-93.2667,Shipped,08/09/2024
2000034,SKU017986,sku_description_17986,4,2,770.08,BOPIS,Store A,08/04/2024,55401,44.9833,-93.2667,Shipped,08/08/2024
2000035,SKU036290,sku_description_36290,1,4,2601.8,STH,Store D,06/23/2024,12284,43.542595,-75.661805,Shipped,06/27/2024
2000035,SKU042736,sku_description_42736,2,4,1634.16,STH,Store D,06/23/2024,12284,43.542595,-75.661805,Shipped,06/27/2024
2000035,SKU021233,sku_description_21233,3,4,2372.28,STH,Store D,06/23/2024,12284,43.542595,-75.661805,Shipped,06/27/2024
2000035,SKU013617,sku_description_13617,4,1,90.56,STH,Store D,06/23/2024,12284,43.542595,-75.661805,Shipped,06/25/2024
2000036,SKU014160,sku_description_14160,1,1,15.29,BOPIS,Store A,05/22/2024,55401,44.9833,-93.2667,Shipped,05/25/2024
2000036,SKU032791,sku_description_32791,2,1,8.51,BOPIS,Store A,05/22/2024,55401,44.9833,-93.2667,Shipped,05/26/2024
2000036,SKU036811,sku_description_36811,3,2,1101.86,BOPIS,Store A,05/22/2024,55401,44.9833,-93.2667,Shipped,05/25/2024
2000037,SKU041332,sku_description_41332,1,4,165.76,STH,Store J,03/20/2024,78204,44.773582,-95.462044,Shipped,03/22/2024
2000038,SKU007924,sku_description_7924,1,2,132.86,STH,Store C,04/20/2024,01737,31.609887,-67.907344,Shipped,04/22/2024
2000038,SKU002390,sku_description_2390,2,4,2206.64,STH,Store C,04/20/2024,01737,31.609887,-67.907344,Shipped,04/23/2024
2000038,SKU021077,sku_description_21077,3,1,198.59,STH,Store C,04/20/2024,01737,31.609887,-67.907344,Shipped,04/21/2024
2000040,SKU035264,sku_description_35264,1,3,780.06,STH,Store H,02/22/2024,27394,44.577607,-120.310248,Shipped,02/25/2024
2000041,SKU016542,sku_description_16542,1,4,1448.56,BOPIS,Store G,02/17/2024,32202,30.3322,-81.6557,Shipped,02/21/2024
2000041,SKU015881,sku_description_15881,2,4,118.12,BOPIS,Store G,02/17/2024,32202,30.3322,-81.6557,Shipped,02/19/2024
2000041,SKU024304,sku_description_24304,3,3,11.61,BOPIS,Store G,02/17/2024,32202,30.3322,-81.6557,Shipped,02/21/2024
2000041,SKU026386,sku_description_26386,4,3,679.62,BOPIS,Store G,02/17/2024,32202,30.3322,-81.6557,Shipped,02/20/2024
2000041,SKU039152,sku_description_39152,5,2,894.22,BOPIS,Store G,02/17/2024,32202,30.3322,-81.6557,Shipped,02/19/2024
2000043,SKU014171,sku_description_14171,1,1,620.01,BOPIS,Store I,02/19/2024,28202,35.2271,-80.8431,Shipped,02/20/2024
2000043,SKU015249,sku_description_15249,2,4,2559.92,BOPIS,Store I,02/19/2024,28202,35.2271,-80.8431,Shipped,02/20/2024
2000043,SKU028051,sku_description_28051,3,4,775.68,BOPIS,Store I,02/19/2024,28202,35.2271,-80.8431,Shipped,02/22/2024
2000044,SKU013704,sku_description_13704,1,1,401.03,STH,Store C,07/02/2024,96221,31.255132,-107.152963,Shipped,07/07/2024
2000044,SKU042958,sku_description_42958,2,2,736.6,STH,Store C,07/02/2024,96221,31.255132,-107.152963,Shipped,07/04/2024
2000044,SKU028687,sku_description_28687,3,1,401.17,STH,Store C,07/02/2024,96221,31.255132,-107.152963,Shipped,07/07/2024
2000044,SKU029901,sku_description_29901,4,1,463.99,STH,Store C,07/02/2024,96221,31.255132,-107.152963,Shipped,07/04/2024
2000044,SKU006992,sku_description_6992,5,4,779.4,STH,Store C,07/02/2024,96221,31.255132,-107.152963,Shipped,07/05/2024
2000046,SKU016423,sku_description_16423,1,3,595.02,STH,Store I,11/05/2024,26099,42.749294,-107.950534,Shipped,11/07/2024
2000048,SKU009215,sku_description_9215,1,3,65.1,STH,Store J,01/23/2024,43019,27.284424,-78.073635,Shipped,01/28/2024
2000048,SKU004097,sku_description_4097,2,2,27.8,STH,Store J,01/23/2024,43019,27.284424,-78.073635,Shipped,01/25/2024
2000048,SKU019276,sku_description_19276,3,3,1084.41,STH,Store J,01/23/2024,43019,27.284424,-78.073635,Shipped,01/28/2024
2000048,SKU016528,sku_description_16528,4,3,1635.36,STH,Store J,01/23/2024,43019,27.284424,-78.073635,Shipped,01/24/2024
2000049,SKU029646,sku_description_29646,1,4,1010.4,STH,Store H,08/23/2024,20971,38.491215,-103.417936,Shipped,08/28/2024
2000049,SKU040688,sku_description_40688,2,3,2391.54,STH,Store H,08/23/2024,20971,38.491215,-103.417936,Shipped,08/27/2024
2000049,SKU006063,sku_description_6063,3,2,790.14,STH,Store H,08/23/2024,20971,38.491215,-103.417936,Shipped,08/27/2024
2000049,SKU002227,sku_description_2227,4,3,729.33,STH,Store H,08/23/2024,20971,38.491215,-103.417936,Shipped,08/28/2024
2000049,SKU013693,sku_description_13693,5,1,611.13,STH,Store H,08/23/2024,20971,38.491215,-103.417936,Shipped,08/27/2024
2000049,SKU012782,sku_description_12782,6,1,718.13,STH,Store H,08/23/2024,20971,38.491215,-103.417936,Shipped,08/27/2024
2000050,SKU021766,sku_description_21766,1,1,782.59,STH,Store D,10/01/2024,36104,25.473664,-77.610604,Shipped,10/06/2024
2000050,SKU031423,sku_description_31423,2,2,843.84,STH,Store D,10/01/2024,36104,25.473664,-77.610604,Shipped,10/02/2024
2000050,SKU017792,sku_description_17792,3,2,750.6,STH,Store D,10/01/2024,36104,25.473664,-77.610604,Shipped,10/05/2024
2000052,SKU019025,sku_description_19025,1,1,278.62,STH,Store F,07/12/2024,65400,31.040538,-90.686491,Shipped,07/14/2024
2000052,SKU028687,sku_description_28687,2,4,1604.68,STH,Store F,07/12/2024,65400,31.040538,-90.686491,Shipped,07/16/2024
2000052,SKU020626,sku_description_20626,3,1,26.18,STH,Store F,07/12/2024,65400,31.040538,-90.686491,Shipped,07/16/2024
2000052,SKU011658,sku_description_11658,4,2,1598.0,STH,Store F,07/12/2024,65400,31.040538,-90.686491,Shipped,07/17/2024
2000053,SKU013279,sku_description_13279,1,2,677.62,BOPIS,Store D,02/10/2024,15222,40.4406,-79.9959,Shipped,02/15/2024
2000053,SKU007788,sku_description_7788,2,2,1479.2,BOPIS,Store D,02/10/2024,15222,40.4406,-79.9959,Shipped,02/11/2024
2000053,SKU028578,sku_description_28578,3,4,2627.68,BOPIS,Store D,02/10/2024,15222,40.4406,-79.9959,Shipped,02/14/2024
2000053,SKU012035,sku_description_12035,4,2,1403.7,BOPIS,Store D,02/10/2024,15222,40.4406,-79.9959,Shipped,02/13/2024
2000053,SKU009856,sku_description_9856,5,1,386.66,BOPIS,Store D,02/10/2024,15222,40.4406,-79.9959,Shipped,02/11/2024
2000053,SKU027729,sku_description_27729,6,3,42.21,BOPIS,Store D,02/10/2024,15222,40.4406,-79.9959,Shipped,02/13/2024
2000053,SKU015142,sku_description_15142,7,2,1570.68,BOPIS,Store D,02/10/2024,15222,40.4406,-79.9959,Shipped,02/15/2024
2000054,SKU039329,sku_description_39329,1,3,2307.45,BOPIS,Store G,10/09/2024,32202,30.3322,-81.6557,Shipped,10/10/2024
2000054,SKU026636,sku_description_26636,2,3,2285.34,BOPIS,Store G,10/09/2024,32202,30.3322,-81.6557,Shipped,10/13/2024
2000054,SKU014886,sku_description_14886,3,1,712.1,BOPIS,Store G,10/09/2024,32202,30.3322,-81.6557,Shipped,10/14/2024
2000054,SKU010226,sku_description_10226,4,4,1751.4,BOPIS,Store G,10/09/2024,32202,30.3322,-81.6557,Shipped,10/13/2024
2000054,SKU025079,sku_description_25079,5,1,283.16,BOPIS,Store G,10/09/2024,32202,30.3322,-81.6557,Shipped,10/13/2024
2000055,SKU018142,sku_description_18142,1,1,249.52,STH,Store I,05/30/2024,09295,45.586949,-72.951587,Shipped,06/01/2024
2000055,SKU013754,sku_description_13754,2,4,759.72,STH,Store I,05/30/2024,09295,45.586949,-72.951587,Shipped,06/02/2024
2000055,SKU032363,sku_description_32363,3,4,265.48,STH,Store I,05/30/2024,09295,45.586949,-72.951587,Shipped,06/01/2024
2000055,SKU005460,sku_description_5460,4,4,3055.48,STH,Store I,05/30/2024,09295,45.586949,-72.951587,Shipped,06/02/2024
2000055,SKU042012,sku_description_42012,5,3,2000.94,STH,Store I,05/30/2024,09295,45.586949,-72.951587,Shipped,06/03/2024
2000056,SKU030155,sku_description_30155,1,3,1941.99,STH,Store B,11/17/2024,58784,41.230557,-96.975197,Shipped,11/19/2024
2000056,SKU026371,sku_description_26371,2,4,265.16,STH,Store B,11/17/2024,58784,41.230557,-96.975197,Shipped,11/18/2024
2000056,SKU028275,sku_description_28275,3,4,2051.8,STH,Store B,11/17/2024,58784,41.230557,-96.975197,Shipped,11/21/2024
2000056,SKU025896,sku_description_25896,4,4,2882.6,STH,Store B,11/17/2024,58784,41.230557,-96.975197,Shipped,11/19/2024
2000056,SKU024937,sku_description_24937,5,3,1742.43,STH,Store B,11/17/2024,58784,41.230557,-96.975197,Shipped,11/22/2024
2000056,SKU010095,sku_description_10095,6,2,1325.7,STH,Store B,11/17/2024,58784,41.230557,-96.975197,Shipped,11/21/2024
2000056,SKU002148,sku_description_2148,7,4,1152.68,STH,Store B,11/17/2024,58784,41.230557,-96.975197,Shipped,11/20/2024
2000057,SKU014028,sku_description_14028,1,4,61.88,STH,Store B,11/12/2024,03992,46.311799,-122.652204,Shipped,11/15/2024
2000057,SKU024491,sku_description_24491,2,4,1916.52,STH,Store B,11/12/2024,03992,46.311799,-122.652204,Shipped,11/14/2024
2000057,SKU042958,sku_description_42958,3,3,1104.9,STH,Store B,11/12/2024,03992,46.311799,-122.652204,Shipped,11/13/2024
2000057,SKU035669,sku_description_35669,4,1,633.72,STH,Store B,11/12/2024,03992,46.311799,-122.652204,Shipped,11/17/2024
2000057,SKU016490,sku_description_16490,5,2,487.78,STH,Store B,11/12/2024,03992,46.311799,-122.652204,Shipped,11/15/2024
2000057,SKU015203,sku_description_15203,6,4,1395.84,STH,Store B,11/12/2024,03992,46.311799,-122.652204,Shipped,11/13/2024
2000057,SKU036239,sku_description_36239,7,2,819.82,STH,Store B,11/12/2024,03992,46.311799,-122.652204,Shipped,11/15/2024
2000058,SKU031234,sku_description_31234,1,1,751.81,STH,Store I,07/04/2024,04105,30.737976,-115.260723,Shipped,07/08/2024
2000058,SKU039265,sku_description_39265,2,4,2585.0,STH,Store I,07/04/2024,04105,30.737976,-115.260723,Shipped,07/06/2024
2000058,SKU004944,sku_description_4944,3,3,877.53,STH,Store I,07/04/2024,04105,30.737976,-115.260723,Shipped,07/09/2024
2000058,SKU006965,sku_description_6965,4,1,240.63,STH,Store I,07/04/2024,04105,30.737976,-115.260723,Shipped,07/08/2024
2000058,SKU034637,sku_description_34637,5,3,620.43,STH,Store I,07/04/2024,04105,30.737976,-115.260723,Shipped,07/08/2024
2000058,SKU039572,sku_description_39572,6,2,1046.48,STH,Store I,07/04/2024,04105,30.737976,-115.260723,Shipped,07/09/2024
2000059,SKU041965,sku_description_41965,1,2,1304.44,BOPIS,Store I,10/22/2024,28202,35.2271,-80.8431,Shipped,10/23/2024
2000059,SKU030749,sku_description_30749,2,3,2026.62,BOPIS,Store I,10/22/2024,28202,35.2271,-80.8431,Shipped,10/25/2024
2000059,SKU015464,sku_description_15464,3,3,711.48,BOPIS,Store I,10/22/2024,28202,35.2271,-80.8431,Shipped,10/25/2024
2000060,SKU003062,sku_description_3062,1,4,305.52,BOPIS,Store F,04/08/2024,37219,36.1627,-86.7816,Shipped,04/13/2024
2000060,SKU013212,sku_description_13212,2,2,277.36,BOPIS,Store F,04/08/2024,37219,36.1627,-86.7816,Shipped,04/11/2024
2000060,SKU013334,sku_description_13334,3,3,2072.49,BOPIS,Store F,04/08/2024,37219,36.1627,-86.7816,Shipped,04/13/2024
2000061,SKU029579,sku_description_29579,1,3,164.52,STH,Store A,12/26/2024,78240,44.968803,-89.148218,Shipped,12/31/2024
2000061,SKU006327,sku_description_6327,2,1,760.74,STH,Store A,12/26/2024,78240,44.968803,-89.148218,Shipped,12/27/2024
2000062,SKU024859,sku_description_24859,1,3,1174.26,STH,Store C,02/05/2024,82227,46.990876,-107.823246,Shipped,02/09/2024
2000062,SKU023559,sku_description_23559,2,1,324.12,STH,Store C,02/05/2024,82227,46.990876,-107.823246,Shipped,02/09/2024
2000063,SKU008500,sku_description_8500,1,3,764.82,STH,Store J,01/24/2024,34755,32.994185,-88.018414,Shipped,01/29/2024
2000063,SKU033723,sku_description_33723,2,2,923.56,STH,Store J,01/24/2024,34755,32.994185,-88.018414,Shipped,01/25/2024
2000063,SKU034335,sku_description_34335,3,2,708.76,STH,Store J,01/24/2024,34755,32.994185,-88.018414,Shipped,01/27/2024
2000063,SKU019585,sku_description_19585,4,2,143.86,STH,Store J,01/24/2024,34755,32.994185,-88.018414,Shipped,01/25/2024
