Tracking Number,Order Number,Recipient Postal Code,Service Description,Ship Date,Delivery Date,Original Weight (Pounds),Shipment Rated Weight (Pounds),Dimmed Height (in),Dimmed Width (in),Dimmed Length (in),Shipment DIM Flag,Net Charge Amount USD
TRK20250000000009,2220026,37162,FedEx Home Delivery,08/21/2025,08/24/2025,89.58,95.05,57.5,53.8,43.1,Y,127.02
TRK20250000000009,2220026,37162,FedEx Ground Economy,08/22/2025,08/28/2025,146.41,146.88,41.0,52.4,79.1,Y,211.05
TRK20250000000009,2220026,37162,FedEx Home Delivery,08/21/2025,08/23/2025,192.55,208.91,4.3,30.9,16.0,Y,154.92
TRK20250000000009,2220026,37162,FedEx Home Delivery,08/25/2025,08/30/2025,69.72,80.83,40.5,12.6,44.4,Y,131.7
TRK20250000000009,2220026,37162,FedEx Ground Economy,08/25/2025,09/01/2025,108.8,125.6,58.4,59.3,64.8,Y,125.92
TRK20250000000010,2220028,40693,FedEx Home Delivery,05/19/2025,05/22/2025,77.88,87.7,42.6,48.1,69.1,Y,120.23
TRK20250000000010,2220028,40693,FedEx Ground Economy,05/19/2025,05/21/2025,133.91,135.31,24.9,25.9,89.2,Y,186.26
TRK20250000000011,2220030,41360,FedEx Ground Economy,01/14/2025,01/20/2025,155.32,165.02,18.2,30.6,50.3,Y,186.03
TRK20250000000011,2220030,41360,FedEx Home Delivery,01/15/2025,01/18/2025,87.72,102.31,24.1,29.3,65.4,Y,94.29
TRK20250000000012,2220031,82822,FedEx Home Delivery,08/04/2025,08/07/2025,45.01,51.84,48.5,22.2,8.5,Y,37.46
TRK20250000000012,2220031,82822,FedEx Ground Economy,08/04/2025,08/07/2025,75.92,86.9,25.4,8.6,61.8,Y,53.38
TRK20250000000012,2220031,82822,FedEx Home Delivery,08/07/2025,08/12/2025,194.77,210.03,26.8,20.2,59.0,Y,330.38
TRK20250000000013,2220033,43470,FedEx Home Delivery,11/06/2025,11/09/2025,179.15,207.62,14.8,14.0,62.4,Y,170.81
TRK20250000000013,2220033,43470,FedEx Ground Economy,11/09/2025,11/12/2025,176.87,189.86,46.1,14.3,18.0,Y,215.53
TRK20250000000013,2220033,43470,FedEx Home Delivery,11/08/2025,11/09/2025,141.91,152.26,32.6,14.8,76.0,Y,205.58
TRK20250000000013,2220033,43470,FedEx Home Delivery,11/05/2025,11/08/2025,38.25,41.74,35.0,9.2,35.1,Y,52.34
TRK20250000000013,2220033,43470,FedEx Ground Economy,11/06/2025,11/08/2025,72.05,76.08,13.9,53.9,61.0,Y,59.74
TRK20250000000014,2220037,28230,FedEx Home Delivery,11/15/2025,11/19/2025,190.17,214.38,29.2,54.6,15.6,Y,181.34
TRK20250000000015,2220038,83030,FedEx Home Delivery,06/29/2025,07/02/2025,49.15,55.82,15.4,46.7,54.1,Y,43.83
TRK20250000000015,2220038,83030,FedEx Ground Economy,07/01/2025,07/09/2025,132.08,134.96,32.9,42.0,15.7,Y,201.06
TRK20250000000015,2220038,83030,FedEx Ground Economy,06/28/2025,07/07/2025,72.17,83.94,49.5,7.2,10.3,Y,76.85
TRK20250000000015,2220038,83030,FedEx Ground Economy,06/27/2025,07/03/2025,94.12,98.4,53.4,34.9,81.4,Y,145.6
TRK20250000000015,2220038,83030,FedEx Home Delivery,06/29/2025,07/02/2025,39.35,44.48,47.3,36.0,29.7,Y,58.92
TRK20250000000016,2220040,79226,FedEx Home Delivery,04/29/2025,05/03/2025,165.07,181.5,11.0,5.6,69.2,Y,263.19
TRK20250000000016,2220040,79226,FedEx Ground Economy,05/03/2025,05/10/2025,53.37,53.49,3.2,35.9,34.3,Y,62.4
TRK20250000000016,2220040,79226,FedEx Home Delivery,04/30/2025,05/02/2025,134.25,151.2,59.3,25.6,26.0,Y,149.36
TRK20250000000016,2220040,79226,FedEx Ground Economy,05/01/2025,05/05/2025,54.5,65.37,53.8,39.1,70.7,Y,90.72
TRK20250000000016,2220040,79226,FedEx Home Delivery,05/01/2025,05/03/2025,197.65,222.66,4.8,11.6,70.9,Y,167.86
TRK20250000000017,2220041,47562,FedEx Home Delivery,01/19/2025,01/22/2025,12.98,14.16,26.6,7.0,35.9,Y,18.03
TRK20250000000018,2220044,20697,FedEx Ground Economy,07/07/2025,07/09/2025,177.33,197.62,34.9,35.1,52.0,Y,198.11
TRK20250000000018,2220044,20697,FedEx Home Delivery,07/06/2025,07/09/2025,70.31,74.05,15.1,46.7,61.8,Y,77.88
TRK20250000000018,2220044,20697,FedEx Home Delivery,07/06/2025,07/08/2025,145.41,147.56,45.0,36.1,23.9,Y,152.6
TRK20250000000019,2220045,77313,FedEx Ground Economy,04/11/2025,04/20/2025,53.93,55.86,15.7,21.5,43.0,Y,63.26
TRK20250000000019,2220045,77313,FedEx Home Delivery,04/11/2025,04/15/2025,137.18,153.1,6.5,38.7,88.0,Y,196.13
TRK20250000000019,2220045,77313,FedEx Ground Economy,04/11/2025,04/19/2025,181.25,197.0,41.5,45.8,24.6,Y,198.11
TRK20250000000019,2220045,77313,FedEx Home Delivery,04/11/2025,04/16/2025,109.21,113.66,5.5,24.7,57.7,Y,85.88
TRK20250000000020,2220046,7513,FedEx Home Delivery,06/08/2025,06/09/2025,20.46,23.34,45.0,23.8,80.7,Y,18.51
TRK20250000000021,2220047,5929,FedEx Home Delivery,01/09/2025,01/13/2025,106.34,123.91,14.4,22.1,66.0,Y,177.47
TRK20250000000021,2220047,5929,FedEx Ground Economy,01/08/2025,01/14/2025,16.14,16.15,11.7,52.1,31.3,Y,22.09
TRK20250000000021,2220047,5929,FedEx Ground Economy,01/07/2025,01/15/2025,39.7,39.9,50.5,12.5,5.5,Y,28.39
TRK20250000000021,2220047,5929,FedEx Ground Economy,01/07/2025,01/11/2025,144.86,150.04,7.3,37.2,7.3,Y,162.92
TRK20250000000021,2220047,5929,FedEx Ground Economy,01/08/2025,01/12/2025,3.11,3.18,16.5,9.5,75.5,Y,4.42
TRK20250000000021,2220047,5929,FedEx Ground Economy,01/09/2025,01/16/2025,90.49,108.47,16.8,41.8,82.8,Y,122.69
TRK20250000000021,2220047,5929,FedEx Ground Economy,01/07/2025,01/16/2025,10.05,11.52,39.2,39.5,83.2,Y,8.97
TRK20250000000022,2220048,70958,FedEx Home Delivery,07/20/2025,07/25/2025,21.47,24.02,32.5,55.8,21.0,Y,22.62
TRK20250000000022,2220048,70958,FedEx Ground Economy,07/20/2025,07/29/2025,129.84,150.52,7.9,55.5,43.6,Y,167.87
TRK20250000000022,2220048,70958,FedEx Home Delivery,07/18/2025,07/20/2025,102.79,113.73,53.3,59.5,67.5,Y,82.04
TRK20250000000022,2220048,70958,FedEx Ground Economy,07/21/2025,07/26/2025,104.76,122.2,46.2,46.1,40.9,Y,143.66
TRK20250000000022,2220048,70958,FedEx Home Delivery,07/21/2025,07/24/2025,47.42,54.16,5.6,45.8,45.9,Y,90.17
TRK20250000000022,2220048,70958,FedEx Home Delivery,07/19/2025,07/20/2025,61.28,69.0,59.5,23.3,55.8,Y,84.33
TRK20250000000023,2220050,85701,FedEx Ground Economy,07/10/2025,07/17/2025,102.08,102.65,12.7,47.8,14.2,Y,132.08
TRK20250000000023,2220050,85701,FedEx Ground Economy,07/09/2025,07/16/2025,65.77,67.14,48.0,5.5,23.5,Y,88.6
TRK20250000000023,2220050,85701,FedEx Ground Economy,07/08/2025,07/16/2025,150.35,174.34,21.0,50.5,20.6,Y,234.56
TRK20250000000023,2220050,85701,FedEx Ground Economy,07/11/2025,07/13/2025,40.55,47.68,47.0,41.4,6.6,Y,54.79
TRK20250000000023,2220050,85701,FedEx Ground Economy,07/07/2025,07/12/2025,186.09,216.14,4.1,57.6,20.4,Y,147.08
TRK20250000000024,2220054,40509,FedEx Ground Economy,10/18/2025,10/26/2025,17.64,19.88,12.8,24.3,80.4,Y,18.7
TRK20250000000024,2220054,40509,FedEx Ground Economy,10/17/2025,10/24/2025,53.13,63.04,50.2,15.4,70.5,Y,91.83
TRK20250000000025,2220055,55239,FedEx Home Delivery,11/28/2025,11/29/2025,45.11,46.32,24.3,29.7,79.8,Y,78.82
TRK20250000000025,2220055,55239,FedEx Home Delivery,11/28/2025,12/03/2025,140.35,168.0,22.9,14.7,85.7,Y,279.17
TRK20250000000025,2220055,55239,FedEx Home Delivery,11/30/2025,12/01/2025,108.22,112.14,9.4,28.5,73.6,Y,96.79
TRK20250000000025,2220055,55239,FedEx Ground Economy,11/28/2025,12/05/2025,147.06,170.1,21.7,17.2,31.6,Y,197.14
TRK20250000000025,2220055,55239,FedEx Ground Economy,12/01/2025,12/03/2025,31.32,35.39,28.0,22.6,56.2,Y,50.57
TRK20250000000026,2220057,84333,FedEx Home Delivery,10/01/2025,10/04/2025,137.4,155.03,14.6,37.2,12.4,Y,221.24
TRK20250000000026,2220057,84333,FedEx Home Delivery,10/01/2025,10/02/2025,153.8,163.78,34.5,14.9,61.1,Y,116.55
TRK20250000000026,2220057,84333,FedEx Ground Economy,09/30/2025,10/05/2025,11.75,13.49,18.9,34.3,75.9,Y,10.43
TRK20250000000026,2220057,84333,FedEx Ground Economy,10/04/2025,10/10/2025,148.34,175.62,24.3,37.6,83.2,Y,171.47
TRK20250000000027,2220064,38263,FedEx Home Delivery,02/16/2025,02/19/2025,35.05,36.75,57.1,24.8,30.5,Y,43.8
TRK20250000000027,2220064,38263,FedEx Home Delivery,02/18/2025,02/20/2025,166.59,191.6,43.1,46.8,52.8,Y,319.77
TRK20250000000027,2220064,38263,FedEx Ground Economy,02/17/2025,02/22/2025,47.98,54.6,11.9,51.0,79.8,Y,74.27
TRK20250000000028,2220067,36819,FedEx Home Delivery,02/24/2025,02/28/2025,73.96,86.19,13.5,12.7,86.2,Y,125.15
TRK20250000000028,2220067,36819,FedEx Home Delivery,02/24/2025,02/28/2025,78.35,82.42,23.8,35.2,46.6,Y,91.94
TRK20250000000028,2220067,36819,FedEx Home Delivery,02/24/2025,02/28/2025,150.56,163.29,18.4,22.7,35.3,Y,219.6
TRK20250000000028,2220067,36819,FedEx Home Delivery,02/26/2025,03/01/2025,64.95,67.97,47.1,59.3,45.6,Y,62.79
TRK20250000000028,2220067,36819,FedEx Ground Economy,02/23/2025,02/27/2025,39.97,44.55,5.5,16.2,12.9,Y,32.67
TRK20250000000028,2220067,36819,FedEx Home Delivery,02/27/2025,03/03/2025,43.24,48.38,44.8,42.6,31.8,Y,35.18
TRK20250000000028,2220067,36819,FedEx Home Delivery,02/23/2025,02/25/2025,137.7,149.37,8.3,31.2,62.9,Y,210.39
TRK20250000000029,2220069,70271,FedEx Home Delivery,02/22/2025,02/24/2025,119.44,142.12,29.6,55.5,43.0,Y,239.03
TRK20250000000029,2220069,70271,FedEx Home Delivery,02/21/2025,02/24/2025,2.82,2.85,41.9,56.1,52.7,Y,2.65
TRK20250000000029,2220069,70271,FedEx Home Delivery,02/21/2025,02/22/2025,193.28,231.34,52.9,36.0,19.8,Y,392.08
TRK20250000000029,2220069,70271,FedEx Home Delivery,02/20/2025,02/23/2025,66.18,78.88,3.6,13.8,26.1,Y,129.65
TRK20250000000030,2220076,97052,FedEx Home Delivery,07/23/2025,07/26/2025,187.84,191.19,52.7,25.9,59.9,Y,132.15
TRK20250000000030,2220076,97052,FedEx Home Delivery,07/22/2025,07/25/2025,171.97,177.61,55.7,44.0,28.2,Y,189.07
TRK20250000000030,2220076,97052,FedEx Home Delivery,07/24/2025,07/27/2025,74.69,81.93,35.8,44.7,62.6,Y,124.96
TRK20250000000030,2220076,97052,FedEx Ground Economy,07/24/2025,08/01/2025,79.85,84.71,17.4,12.2,65.1,Y,123.63
TRK20250000000031,2220078,25075,FedEx Home Delivery,06/06/2025,06/08/2025,8.64,9.6,50.3,28.8,64.6,Y,8.9
TRK20250000000031,2220078,25075,FedEx Home Delivery,06/04/2025,06/07/2025,191.33,216.23,45.3,44.9,75.0,Y,224.24
TRK20250000000031,2220078,25075,FedEx Ground Economy,06/05/2025,06/09/2025,195.26,217.35,43.2,32.1,16.9,Y,204.34
TRK20250000000031,2220078,25075,FedEx Home Delivery,06/06/2025,06/11/2025,185.19,220.72,13.8,13.0,47.3,Y,202.47
TRK20250000000031,2220078,25075,FedEx Home Delivery,06/04/2025,06/08/2025,18.91,22.1,50.4,37.5,82.7,Y,31.25
TRK20250000000031,2220078,25075,FedEx Ground Economy,06/03/2025,06/07/2025,5.28,5.62,2.7,25.2,71.9,Y,5.49
TRK20250000000032,2220080,23835,FedEx Home Delivery,02/19/2025,02/21/2025,64.65,77.5,48.0,48.8,34.0,Y,87.54
TRK20250000000032,2220080,23835,FedEx Ground Economy,02/19/2025,02/26/2025,44.76,52.07,13.2,30.8,30.7,Y,71.82
TRK20250000000032,2220080,23835,FedEx Home Delivery,02/22/2025,02/24/2025,23.0,24.72,14.2,47.9,82.8,Y,20.26
TRK20250000000032,2220080,23835,FedEx Home Delivery,02/22/2025,02/26/2025,81.76,97.47,2.2,12.5,82.2,Y,142.54
TRK20250000000033,2220081,7120,FedEx Ground Economy,09/06/2025,09/10/2025,95.95,103.02,55.9,41.6,36.3,Y,135.63
TRK20250000000033,2220081,7120,FedEx Ground Economy,09/04/2025,09/12/2025,121.28,124.39,51.0,59.1,55.4,Y,145.24
TRK20250000000034,2220082,17191,FedEx Home Delivery,04/05/2025,04/06/2025,70.31,73.15,20.0,11.6,58.7,Y,68.03
TRK20250000000034,2220082,17191,FedEx Home Delivery,04/02/2025,04/05/2025,81.77,84.96,30.4,17.0,21.6,Y,126.97
TRK20250000000034,2220082,17191,FedEx Home Delivery,04/03/2025,04/05/2025,15.93,17.36,54.4,50.6,83.6,Y,20.04
TRK20250000000034,2220082,17191,FedEx Home Delivery,04/03/2025,04/06/2025,74.04,84.62,56.6,13.2,41.4,Y,75.83
TRK20250000000034,2220082,17191,FedEx Home Delivery,04/04/2025,04/05/2025,131.34,140.37,53.0,40.0,40.8,Y,104.2
TRK20250000000034,2220082,17191,FedEx Home Delivery,04/05/2025,04/09/2025,36.95,41.65,18.3,27.1,46.7,Y,70.37
TRK20250000000034,2220082,17191,FedEx Ground Economy,04/06/2025,04/10/2025,180.06,186.44,58.8,40.0,26.5,Y,265.12
TRK20250000000035,2220083,5760,FedEx Ground Economy,10/18/2025,10/26/2025,151.59,180.78,58.7,52.5,36.9,Y,164.66
TRK20250000000035,2220083,5760,FedEx Home Delivery,10/17/2025,10/19/2025,88.16,102.83,16.7,41.5,14.5,Y,72.98
TRK20250000000035,2220083,5760,FedEx Ground Economy,10/16/2025,10/22/2025,16.74,16.77,13.2,35.8,87.8,Y,18.61
TRK20250000000035,2220083,5760,FedEx Home Delivery,10/18/2025,10/22/2025,37.7,44.75,24.6,51.0,50.1,Y,42.97
TRK20250000000036,2220087,34400,FedEx Home Delivery,03/20/2025,03/22/2025,189.22,193.15,59.3,32.4,47.6,Y,195.39
TRK20250000000036,2220087,34400,FedEx Ground Economy,03/18/2025,03/25/2025,130.46,133.72,41.8,14.6,9.2,Y,171.65
TRK20250000000036,2220087,34400,FedEx Home Delivery,03/18/2025,03/19/2025,113.58,129.3,53.8,47.4,57.8,Y,164.25
TRK20250000000036,2220087,34400,FedEx Home Delivery,03/20/2025,03/23/2025,168.36,182.03,53.5,47.8,71.9,Y,183.47
TRK20250000000036,2220087,34400,FedEx Home Delivery,03/19/2025,03/21/2025,49.37,50.52,11.2,27.3,87.5,Y,58.89
TRK20250000000036,2220087,34400,FedEx Ground Economy,03/18/2025,03/20/2025,117.25,123.39,38.7,33.1,74.0,Y,78.39
TRK20250000000036,2220087,34400,FedEx Ground Economy,03/20/2025,03/22/2025,184.99,211.38,54.7,21.1,5.3,Y,159.67
TRK20250000000037,2220088,31144,FedEx Home Delivery,03/27/2025,03/29/2025,151.15,181.29,39.6,44.7,61.2,Y,298.89
TRK20250000000037,2220088,31144,FedEx Ground Economy,03/26/2025,04/03/2025,57.43,60.59,29.2,43.9,16.2,Y,37.64
TRK20250000000037,2220088,31144,FedEx Home Delivery,03/26/2025,03/30/2025,61.14,68.37,39.2,56.5,36.1,Y,72.73
TRK20250000000037,2220088,31144,FedEx Ground Economy,03/26/2025,03/30/2025,140.8,154.3,35.8,30.6,64.3,Y,153.15
TRK20250000000038,2220089,64372,FedEx Home Delivery,07/14/2025,07/17/2025,82.69,96.37,45.6,56.6,15.0,Y,136.8
TRK20250000000038,2220089,64372,FedEx Ground Economy,07/14/2025,07/17/2025,8.35,8.69,11.9,55.8,67.9,Y,12.72
TRK20250000000038,2220089,64372,FedEx Home Delivery,07/13/2025,07/15/2025,124.89,133.34,50.6,28.8,18.3,Y,162.19
TRK20250000000039,2220092,69259,FedEx Ground Economy,03/09/2025,03/13/2025,126.12,145.7,26.8,21.8,52.7,Y,216.65
TRK20250000000039,2220092,69259,FedEx Ground Economy,03/07/2025,03/12/2025,94.96,106.88,35.3,54.1,60.4,Y,64.75
TRK20250000000039,2220092,69259,FedEx Home Delivery,03/07/2025,03/11/2025,159.29,186.43,43.5,51.7,59.0,Y,232.6
TRK20250000000039,2220092,69259,FedEx Ground Economy,03/08/2025,03/13/2025,21.12,23.91,18.1,19.9,67.4,Y,18.24
TRK20250000000039,2220092,69259,FedEx Ground Economy,03/10/2025,03/18/2025,35.62,42.28,13.3,57.0,55.4,Y,31.34
TRK20250000000040,2220094,70776,FedEx Home Delivery,07/02/2025,07/07/2025,133.93,150.36,4.7,31.7,25.4,Y,111.49
TRK20250000000040,2220094,70776,FedEx Ground Economy,07/01/2025,07/03/2025,35.72,41.54,56.3,24.4,74.0,Y,36.21
TRK20250000000040,2220094,70776,FedEx Home Delivery,07/01/2025,07/03/2025,149.94,154.94,7.9,25.4,15.9,Y,144.75
TRK20250000000041,2220095,80425,FedEx Home Delivery,01/05/2025,01/06/2025,120.51,123.18,24.1,58.9,80.6,Y,210.51
TRK20250000000041,2220095,80425,FedEx Home Delivery,01/03/2025,01/08/2025,181.39,204.71,41.6,54.4,49.0,Y,161.27
TRK20250000000041,2220095,80425,FedEx Home Delivery,01/04/2025,01/08/2025,126.23,134.23,11.4,59.3,5.4,Y,222.67
TRK20250000000041,2220095,80425,FedEx Ground Economy,01/05/2025,01/11/2025,155.43,175.27,50.3,23.6,88.3,Y,168.51
TRK20250000000041,2220095,80425,FedEx Ground Economy,01/02/2025,01/10/2025,163.45,176.71,29.1,53.0,55.5,Y,192.35
TRK20250000000042,2220096,9702,FedEx Home Delivery,01/27/2025,01/29/2025,93.18,99.41,28.7,38.2,58.5,Y,149.25
TRK20250000000042,2220096,9702,FedEx Ground Economy,01/28/2025,02/06/2025,164.59,167.96,35.1,21.6,47.4,Y,215.81
TRK20250000000043,2220097,30142,FedEx Home Delivery,10/16/2025,10/18/2025,84.06,84.17,22.3,58.7,69.0,Y,63.28
TRK20250000000043,2220097,30142,FedEx Ground Economy,10/17/2025,10/22/2025,123.42,126.25,21.0,25.0,23.4,Y,110.64
TRK20250000000043,2220097,30142,FedEx Ground Economy,10/17/2025,10/24/2025,58.83,66.48,8.4,39.7,80.5,Y,69.1
TRK20250000000043,2220097,30142,FedEx Ground Economy,10/14/2025,10/23/2025,148.09,149.12,51.4,53.3,55.0,Y,119.13
TRK20250000000044,2220098,76664,FedEx Ground Economy,07/24/2025,07/29/2025,6.12,7.16,41.6,17.6,87.6,Y,6.08
TRK20250000000045,2220099,70695,FedEx Ground Economy,05/13/2025,05/18/2025,1.73,2.05,55.0,27.9,78.1,Y,1.66
TRK20250000000045,2220099,70695,FedEx Home Delivery,05/11/2025,05/13/2025,49.63,53.47,32.1,33.2,55.9,Y,75.03
TRK20250000000046,2220101,29649,FedEx Ground Economy,06/13/2025,06/17/2025,144.35,170.66,53.3,32.7,74.3,Y,215.75
TRK20250000000046,2220101,29649,FedEx Ground Economy,06/15/2025,06/21/2025,59.88,62.96,30.8,16.3,71.8,Y,89.55
TRK20250000000046,2220101,29649,FedEx Home Delivery,06/13/2025,06/14/2025,144.47,149.11,22.2,17.0,5.1,Y,115.56
TRK20250000000046,2220101,29649,FedEx Home Delivery,06/15/2025,06/17/2025,4.86,5.06,41.3,38.0,57.9,Y,8.36
TRK20250000000046,2220101,29649,FedEx Home Delivery,06/14/2025,06/19/2025,64.68,67.51,29.6,45.0,86.1,Y,108.19
TRK20250000000046,2220101,29649,FedEx Ground Economy,06/14/2025,06/16/2025,78.81,81.9,26.5,41.9,30.7,Y,61.71
TRK20250000000047,2220104,74272,FedEx Home Delivery,10/07/2025,10/12/2025,168.62,186.54,57.3,30.4,65.3,Y,247.28
TRK20250000000047,2220104,74272,FedEx Home Delivery,10/11/2025,10/12/2025,184.52,215.84,13.9,51.6,84.6,Y,169.34
TRK20250000000047,2220104,74272,FedEx Home Delivery,10/09/2025,10/13/2025,78.67,87.77,8.7,23.1,21.8,Y,107.8
TRK20250000000047,2220104,74272,FedEx Home Delivery,10/08/2025,10/13/2025,2.02,2.27,51.1,23.9,47.0,Y,1.76
TRK20250000000047,2220104,74272,FedEx Home Delivery,10/09/2025,10/10/2025,93.69,109.57,10.5,14.3,16.2,Y,156.15
TRK20250000000048,2220106,72436,FedEx Ground Economy,04/29/2025,05/05/2025,99.77,102.17,48.6,25.1,86.4,Y,137.85
TRK20250000000048,2220106,72436,FedEx Ground Economy,04/27/2025,04/30/2025,129.48,138.42,55.6,28.5,39.4,Y,188.94
